 GRD LAT LON SQ1 SQ2     LAT      LON      BOX    %   TOPOG  VEG               
  50   4  22 138 144     8.75   351.82   76950   100   2712   8                
  51   5   1   1   5    11.25     6.43   77533   100   3139   8                
  52   5   2   6  10    11.25    19.29   77533   100   3352   8                
  53   5   3  11  15    11.25    32.14   77533   100   3413   8                
  54   5   4  16  21    11.25    45.00   77533   100   3291   8                
  55   5   5  22  26    11.25    57.86   77533   100   3017   8                
  56   5   6  27  31    11.25    70.71   77533   100   3291   8                
  57   5   7  32  36    11.25    83.57   77533   100   3566   8                
  58   5   8  37  41    11.25    96.43   77533   100   3627   8                
  59   5   9  42  46    11.25   109.29   77533   100   3261   8                
  60   5  10  47  51    11.25   122.14   77533   100   3047   8                
  61   5  11  52  57    11.25   135.00   77533   100   2651   8                
  62   5  12  58  62    11.25   147.86   77533   100   2316   8                
  63   5  13  63  67    11.25   160.71   77533    98   1066   8                
  64   5  14  68  72    11.25   173.57   77533    90      0   8                
  65   5  15  73  77    11.25   186.43   77533    61      0   8                
  66   5  16  78  82    11.25   199.29   77533    83     60   8                
  67   5  17  83  87    11.25   212.14   77533   100    609   8                
  68   5  18  88  93    11.25   225.00   77533   100   1127   8                
  69   5  19  94  98    11.25   237.86   77533   100   1584   8                
  70   5  20  99 103    11.25   250.71   77533   100   1676   8                
  71   5  21 104 108    11.25   263.57   77533   100   1828   8                
  72   5  22 109 113    11.25   276.43   77533   100    853   8                
  73   5  23 114 118    11.25   289.29   77533   100     30   8                
  74   5  24 119 123    11.25   302.14   77533   100     60   8                
  75   5  25 124 129    11.25   315.00   77533    90    274   8                
  76   5  26 130 134    11.25   327.86   77533    96    365   8                
  77   5  27 135 139    11.25   340.71   77533   100   2011   8                
  78   5  28 140 144    11.25   353.57   77533   100   2773   8                
  79   6   1   1   4    13.75     5.29   77791   100   3169   8                
  80   6   2   5   8    13.75    15.88   77791   100   3383   8                
  81   6   3   9  13    13.75    26.47   77791   100   3291   8                
  82   6   4  14  17    13.75    37.06   77791   100   3139   8                
  83   6   5  18  21    13.75    47.65   77791   100   2865   8                
  84   6   6  22  25    13.75    58.24   77791   100   2529   8                
  85   6   7  26  30    13.75    68.82   77791   100   2407   8                
  86   6   8  31  34    13.75    79.41   77791   100   3200   8                
  87   6   9  35  38    13.75    90.00   77791   100   3566   8                
  88   6  10  39  42    13.75   100.59   77791   100   3474   8                
  89   6  11  43  47    13.75   111.18   77791   100   3169   8                
  90   6  12  48  51    13.75   121.76   77791   100   3078   8                
  91   6  13  52  55    13.75   132.35   77791   100   2743   8                
  92   6  14  56  59    13.75   142.94   77791   100   2560   8                
  93   6  15  60  64    13.75   153.53   77791   100   2225   8                
  94   6  16  65  68    13.75   164.12   77791    44    487   8                
  95   6  17  69  72    13.75   174.71   77791     0      0   0                
  96   6  18  73  76    13.75   185.29   77791     0      0   0                
  97   6  19  77  80    13.75   195.88   77791     0      0   0                
  98   6  20  81  85    13.75   206.47   77791    22     30   0                
  99   6  21  86  89    13.75   217.06   77791    84    548   8                
 100   6  22  90  93    13.75   227.65   77791   100   1584   8                
 101   6  23  94  97    13.75   238.24   77791   100   1615   8                
 102   6  24  98 102    13.75   248.82   77791   100   1036   8                
 103   6  25 103 106    13.75   259.41   77791   100    883   8                
 104   6  26 107 110    13.75   270.00   77791   100   1097   8                
 105   6  27 111 114    13.75   280.59   77791   100    457   8                
 106   6  28 115 119    13.75   291.18   77791   100    457   8                
 107   6  29 120 123    13.75   301.76   77791    71      0   8                
 108   6  30 124 127    13.75   312.35   77791     6      0   0                
 109   6  31 128 131    13.75   322.94   77791     3      0   0                
 110   6  32 132 136    13.75   333.53   77791    69    518   8                
 111   6  33 137 140    13.75   344.12   77791   100   2164   8                
 112   6  34 141 144    13.75   354.71   77791   100   2804   8                
 113   7   1   1   4    16.25     4.50   77846   100   2956   8                
 114   7   2   5   7    16.25    13.50   77846   100   3383   8                
 115   7   3   8  11    16.25    22.50   77846   100   3230   8                
 116   7   4  12  14    16.25    31.50   77846   100   2865   8                
 117   7   5  15  18    16.25    40.50   77846   100   2865   8                
 118   7   6  19  22    16.25    49.50   77846   100   2712   8                
 119   7   7  23  25    16.25    58.50   77846   100   2164   8                
 120   7   8  26  29    16.25    67.50   77846   100   1341   8                
 121   7   9  30  32    16.25    76.50   77846   100   2682   8                
 122   7  10  33  36    16.25    85.50   77846   100   3261   8                
 123   7  11  37  40    16.25    94.50   77846   100   3413   8                
 124   7  12  41  43    16.25   103.50   77846   100   3078   8                
 125   7  13  44  47    16.25   112.50   77846   100   3017   8                
 126   7  14  48  50    16.25   121.50   77846   100   3017   8                
 127   7  15  51  54    16.25   130.50   77846   100   2865   8                
 128   7  16  55  58    16.25   139.50   77846   100   2621   8                
 129   7  17  59  61    16.25   148.50   77846   100   2316   8                
 130   7  18  62  65    16.25   157.50   77846   100   2042   8                
 131   7  19  66  68    16.25   166.50   77846    60    731   8                
 132   7  20  69  72    16.25   175.50   77846     0      0   0                
 133   7  21  73  76    16.25   184.50   77846     0      0   0                
 134   7  22  77  79    16.25   193.50   77846     0      0   0                
 135   7  23  80  83    16.25   202.50   77846     0      0   0                
 136   7  24  84  86    16.25   211.50   77846     0      0   0                
 137   7  25  87  90    16.25   220.50   77846     6      0   0                
 138   7  26  91  94    16.25   229.50   77846    31     30   0                
 139   7  27  95  97    16.25   238.50   77846    51     91   0                
 140   7  28  98 101    16.25   247.50   77846    29     60   0                
 141   7  29 102 104    16.25   256.50   77846    50     60   0                
 142   7  30 105 108    16.25   265.50   77846    98    548   8                
 143   7  31 109 112    16.25   274.50   77846    91    579   8                
 144   7  32 113 115    16.25   283.50   77846    84    396   8                
 145   7  33 116 119    16.25   292.50   77846   100   1097   8                
 146   7  34 120 122    16.25   301.50   77846    36    121   0                
 147   7  35 123 126    16.25   310.50   77846     0      0   0                
 148   7  36 127 130    16.25   319.50   77846     0      0   0                
 149   7  37 131 133    16.25   328.50   77846     0      0   0                
 150   7  38 134 137    16.25   337.50   77846    35    121   0                
 151   7  39 138 140    16.25   346.50   77846    99   1219   8                
 152   7  40 141 144    16.25   355.50   77846   100   2255   8                
 153   8   1   1   3    18.75     3.91   77758    99    914   8                
 154   8   2   4   6    18.75    11.74   77758   100   1249   8                
 155   8   3   7   9    18.75    19.57   77758    98   1005   8                
 156   8   4  10  13    18.75    27.39   77758    97   1219   8                
 157   8   5  14  16    18.75    35.22   77758   100   1554   8                
 158   8   6  17  19    18.75    43.04   77758   100   2285   8                
 159   8   7  20  22    18.75    50.87   77758   100   2651   8                
 160   8   8  23  25    18.75    58.70   77758   100   2468   8                
 161   8   9  26  28    18.75    66.52   77758   100   1066   8                
 162   8  10  29  31    18.75    74.35   77758   100   1371   8                
 163   8  11  32  34    18.75    82.17   77758   100   2712   8                
 164   8  12  35  38    18.75    90.00   77758   100   3017   8                
 165   8  13  39  41    18.75    97.83   77758   100   2956   8                
 166   8  14  42  44    18.75   105.65   77758   100   2712   8                
 167   8  15  45  47    18.75   113.48   77758   100   2682   8                
 168   8  16  48  50    18.75   121.30   77758   100   2773   8                
 169   8  17  51  53    18.75   129.13   77758   100   2743   8                
 170   8  18  54  56    18.75   136.96   77758   100   2560   8                
 171   8  19  57  59    18.75   144.78   77758   100   2133   8                
 172   8  20  60  63    18.75   152.61   77758   100   1889   8                
 173   8  21  64  66    18.75   160.43   77758    89   1463   8                
 174   8  22  67  69    18.75   168.26   77758    45    609   0                
 175   8  23  70  72    18.75   176.09   77758     0      0   0                
 176   8  24  73  75    18.75   183.91   77758     0      0   0                
 177   8  25  76  78    18.75   191.74   77758     0      0   0                
 178   8  26  79  81    18.75   199.57   77758     0      0   0                
 179   8  27  82  85    18.75   207.39   77758     0      0   0                
 180   8  28  86  88    18.75   215.22   77758     0      0   0                
 181   8  29  89  91    18.75   223.04   77758     0      0   0                
 182   8  30  92  94    18.75   230.87   77758     0      0   0                
 183   8  31  95  97    18.75   238.70   77758     0      0   0                
 184   8  32  98 100    18.75   246.52   77758     0      0   0                
 185   8  33 101 103    18.75   254.35   77758     2      0   0                
 186   8  34 104 106    18.75   262.17   77758    13     30   0                
 187   8  35 107 110    18.75   270.00   77758     0      0   0                
 188   8  36 111 113    18.75   277.83   77758     0      0   0                
 189   8  37 114 116    18.75   285.65   77758    53     60   0                
 190   8  38 117 119    18.75   293.48   77758   100   1158   8                
 191   8  39 120 122    18.75   301.30   77758    34     91   8                
 192   8  40 123 125    18.75   309.13   77758     0      0   0                
 193   8  41 126 128    18.75   316.96   77758     0      0   0                
 194   8  42 129 131    18.75   324.78   77758     0      0   0                
 195   8  43 132 135    18.75   332.61   77758     0      0   0                
 196   8  44 136 138    18.75   340.43   77758     1      0   0                
 197   8  45 139 141    18.75   348.26   77758    47     91   0                
 198   8  46 142 144    18.75   356.09   77758    89    426   8                
 199   9   1   1   3    21.25     3.46   77561     2      0   0                
 200   9   2   4   6    21.25    10.38   77561     4      0   0                
 201   9   3   7   8    21.25    17.31   77561     8      0   0                
 202   9   4   9  11    21.25    24.23   77561     0      0   0                
 203   9   5  12  14    21.25    31.15   77561    30     60   0                
 204   9   6  15  17    21.25    38.08   77561    28    213   0                
 205   9   7  18  19    21.25    45.00   77561    88   1005   8                
 206   9   8  20  22    21.25    51.92   77561   100   1828   8                
 207   9   9  23  25    21.25    58.85   77561    99   1859   8                
 208   9  10  26  28    21.25    65.77   77561    90   1005   8                
 209   9  11  29  30    21.25    72.69   77561    52     30   8                
 210   9  12  31  33    21.25    79.62   77561    72    944   8                
 211   9  13  34  36    21.25    86.54   77561   100   1798   8                
 212   9  14  37  39    21.25    93.46   77561   100   2133   8                
 213   9  15  40  42    21.25   100.38   77561   100   2072   8                
 214   9  16  43  44    21.25   107.31   77561   100   2042   8                
 215   9  17  45  47    21.25   114.23   77561   100   1706   8                
 216   9  18  48  50    21.25   121.15   77561   100   1706   8                
 217   9  19  51  53    21.25   128.08   77561   100   1828   8                
 218   9  20  54  55    21.25   135.00   77561   100   2072   8                
 219   9  21  56  58    21.25   141.92   77561   100   1584   8                
 220   9  22  59  61    21.25   148.85   77561    73    670   8                
 221   9  23  62  64    21.25   155.77   77561    44    243   0                
 222   9  24  65  66    21.25   162.69   77561     2      0   0                
 223   9  25  67  69    21.25   169.62   77561     0      0   0                
 224   9  26  70  72    21.25   176.54   77561     0      0   0                
 225   9  27  73  75    21.25   183.46   77561     0      0   0                
 226   9  28  76  78    21.25   190.38   77561     0      0   0                
 227   9  29  79  80    21.25   197.31   77561     0      0   0                
 228   9  30  81  83    21.25   204.23   77561     0      0   0                
 229   9  31  84  86    21.25   211.15   77561     0      0   0                
 230   9  32  87  89    21.25   218.08   77561     0      0   0                
 231   9  33  90  91    21.25   225.00   77561     0      0   0                
 232   9  34  92  94    21.25   231.92   77561     0      0   0                
 233   9  35  95  97    21.25   238.85   77561     0      0   0                
 234   9  36  98 100    21.25   245.77   77561     0      0   0                
 235   9  37 101 102    21.25   252.69   77561     0      0   0                
 236   9  38 103 105    21.25   259.62   77561     0      0   0                
 237   9  39 106 108    21.25   266.54   77561     1      0   0                
 238   9  40 109 111    21.25   273.46   77561     0      0   0                
 239   9  41 112 114    21.25   280.38   77561     0      0   0                
 240   9  42 115 116    21.25   287.31   77561    23    121   0                
 241   9  43 117 119    21.25   294.23   77561    80    579   8                
 242   9  44 120 122    21.25   301.15   77561    34      0   0                
 243   9  45 123 125    21.25   308.08   77561     0      0   0                
 244   9  46 126 127    21.25   315.00   77561     0      0   0                
 245   9  47 128 130    21.25   321.92   77561     0      0   0                
 246   9  48 131 133    21.25   328.85   77561     0      0   0                
 247   9  49 134 136    21.25   335.77   77561     0      0   0                
 248   9  50 137 138    21.25   342.69   77561     0      0   0                
 249   9  51 139 141    21.25   349.62   77561     0      0   0                
 250   9  52 142 144    21.25   356.54   77561     7      0   0                
 251  10   1   1   2    23.75     3.10   77270     0      0   0                
 252  10   2   3   5    23.75     9.31   77270     0      0   0                
 253  10   3   6   7    23.75    15.52   77270     0      0   0                
 254  10   4   8  10    23.75    21.72   77270     0      0   0                
 255  10   5  11  12    23.75    27.93   77270     0      0   0                
 256  10   6  13  15    23.75    34.14   77270     0      0   0                
 257  10   7  16  17    23.75    40.34   77270     0      0   0                
 258  10   8  18  20    23.75    46.55   77270     5      0   0                
 259  10   9  21  22    23.75    52.76   77270    53    487   8                
 260  10  10  23  25    23.75    58.97   77270    11     30   0                
 261  10  11  26  27    23.75    65.17   77270     0      0   0                
 262  10  12  28  30    23.75    71.38   77270     0      0   0                
 263  10  13  31  32    23.75    77.59   77270     0      0   0                
 264  10  14  33  35    23.75    83.79   77270    42     30   0                
 265  10  15  36  37    23.75    90.00   77270    39    243   8                
 266  10  16  38  40    23.75    96.21   77270    66    365   8                
 267  10  17  41  42    23.75   102.41   77270    78    640   8                
 268  10  18  43  45    23.75   108.62   77270    42    335   0                
 269  10  19  46  47    23.75   114.83   77270    50    274   8                
 270  10  20  48  50    23.75   121.03   77270    40    121   0                
 271  10  21  51  52    23.75   127.24   77270    41    213   0                
 272  10  22  53  55    23.75   133.45   77270    61    518   8                
 273  10  23  56  57    23.75   139.66   77270    34    304   0                
 274  10  24  58  60    23.75   145.86   77270    10     30   0                
 275  10  25  61  62    23.75   152.07   77270     0      0   0                
 276  10  26  63  65    23.75   158.28   77270     0      0   0                
 277  10  27  66  67    23.75   164.48   77270     0      0   0                
 278  10  28  68  70    23.75   170.69   77270     0      0   0                
 279  10  29  71  72    23.75   176.90   77270     0      0   0                
 280  10  30  73  74    23.75   183.10   77270     0      0   0                
 281  10  31  75  77    23.75   189.31   77270     0      0   0                
 282  10  32  78  79    23.75   195.52   77270     0      0   0                
 283  10  33  80  82    23.75   201.72   77270     0      0   0                
 284  10  34  83  84    23.75   207.93   77270     0      0   0                
 285  10  35  85  87    23.75   214.14   77270     0      0   0                
 286  10  36  88  89    23.75   220.34   77270     0      0   0                
 287  10  37  90  92    23.75   226.55   77270     0      0   0                
 288  10  38  93  94    23.75   232.76   77270     0      0   0                
 289  10  39  95  97    23.75   238.97   77270     0      0   0                
 290  10  40  98  99    23.75   245.17   77270     0      0   0                
 291  10  41 100 102    23.75   251.38   77270     0      0   0                
 292  10  42 103 104    23.75   257.59   77270     0      0   0                
 293  10  43 105 107    23.75   263.79   77270     0      0   0                
 294  10  44 108 109    23.75   270.00   77270     0      0   0                
 295  10  45 110 112    23.75   276.21   77270     0      0   0                
 296  10  46 113 114    23.75   282.41   77270     0      0   0                
 297  10  47 115 117    23.75   288.62   77270     3      0   0                
 298  10  48 118 119    23.75   294.83   77270    57    335   0                
 299  10  49 120 122    23.75   301.03   77270    37      0   0                
 300  10  50 123 124    23.75   307.24   77270     0      0   0                
 301  10  51 125 127    23.75   313.45   77270     0      0   0                
 302  10  52 128 129    23.75   319.65   77270     0      0   0                
 303  10  53 130 132    23.75   325.86   77270     0      0   0                
 304  10  54 133 134    23.75   332.07   77270     0      0   0                
 305  10  55 135 137    23.75   338.28   77270     0      0   0                
 306  10  56 138 139    23.75   344.48   77270     0      0   0                
 307  10  57 140 142    23.75   350.69   77270     0      0   0                
 308  10  58 143 144    23.75   356.90   77270     0      0   0                
 309  11   1   1   2    26.25     2.81   76901     0      0   0                
 310  11   2   3   4    26.25     8.44   76901     0      0   0                
 311  11   3   5   7    26.25    14.06   76901     0      0   0                
 312  11   4   8   9    26.25    19.69   76901     0      0   0                
 313  11   5  10  11    26.25    25.31   76901     0      0   0                
 314  11   6  12  13    26.25    30.94   76901     0      0   0                
 315  11   7  14  16    26.25    36.56   76901     0      0   0                
 316  11   8  17  18    26.25    42.19   76901     0      0   0                
 317  11   9  19  20    26.25    47.81   76901     0      0   0                
 318  11  10  21  22    26.25    53.44   76901     0      0   0                
 319  11  11  23  25    26.25    59.06   76901     0      0   0                
 320  11  12  26  27    26.25    64.69   76901     0      0   0                
 321  11  13  28  29    26.25    70.31   76901     0      0   0                
 322  11  14  30  31    26.25    75.94   76901     0      0   0                
 323  11  15  32  34    26.25    81.56   76901     0      0   0                
 324  11  16  35  36    26.25    87.19   76901     0      0   0                
 325  11  17  37  38    26.25    92.81   76901     0      0   0                
 326  11  18  39  40    26.25    98.44   76901     0      0   0                
 327  11  19  41  43    26.25   104.06   76901     0      0   0                
 328  11  20  44  45    26.25   109.69   76901     0      0   0                
 329  11  21  46  47    26.25   115.31   76901     0      0   0                
 330  11  22  48  49    26.25   120.94   76901     0      0   0                
 331  11  23  50  52    26.25   126.56   76901     0      0   0                
 332  11  24  53  54    26.25   132.19   76901     0      0   0                
 333  11  25  55  56    26.25   137.81   76901     0      0   0                
 334  11  26  57  58    26.25   143.44   76901     0      0   0                
 335  11  27  59  61    26.25   149.06   76901     0      0   0                
 336  11  28  62  63    26.25   154.69   76901     0      0   0                
 337  11  29  64  65    26.25   160.31   76901     0      0   0                
 338  11  30  66  67    26.25   165.94   76901     0      0   0                
 339  11  31  68  70    26.25   171.56   76901     0      0   0                
 340  11  32  71  72    26.25   177.19   76901     0      0   0                
 341  11  33  73  74    26.25   182.81   76901     0      0   0                
 342  11  34  75  76    26.25   188.44   76901     0      0   0                
 343  11  35  77  79    26.25   194.06   76901     0      0   0                
 344  11  36  80  81    26.25   199.69   76901     0      0   0                
 345  11  37  82  83    26.25   205.31   76901     0      0   0                
 346  11  38  84  85    26.25   210.94   76901     0      0   0                
 347  11  39  86  88    26.25   216.56   76901     0      0   0                
 348  11  40  89  90    26.25   222.19   76901     0      0   0                
 349  11  41  91  92    26.25   227.81   76901     0      0   0                
 350  11  42  93  94    26.25   233.44   76901     0      0   0                
 351  11  43  95  97    26.25   239.06   76901     0      0   0                
 352  11  44  98  99    26.25   244.69   76901     0      0   0                
 353  11  45 100 101    26.25   250.31   76901     0      0   0                
 354  11  46 102 103    26.25   255.94   76901     0      0   0                
 355  11  47 104 106    26.25   261.56   76901     0      0   0                
 356  11  48 107 108    26.25   267.19   76901     0      0   0                
 357  11  49 109 110    26.25   272.81   76901     0      0   0                
 358  11  50 111 112    26.25   278.44   76901     0      0   0                
 359  11  51 113 115    26.25   284.06   76901     0      0   0                
 360  11  52 116 117    26.25   289.69   76901     0      0   0                
 361  11  53 118 119    26.25   295.31   76901     8     60   0                
 362  11  54 120 121    26.25   300.94   76901    36    182   0                
 363  11  55 122 124    26.25   306.56   76901     0      0   0                
 364  11  56 125 126    26.25   312.19   76901     0      0   0                
 365  11  57 127 128    26.25   317.81   76901     0      0   0                
 366  11  58 129 130    26.25   323.44   76901     0      0   0                
 367  11  59 131 133    26.25   329.06   76901     0      0   0                
 368  11  60 134 135    26.25   334.69   76901     0      0   0                
 369  11  61 136 137    26.25   340.31   76901     0      0   0                
 370  11  62 138 139    26.25   345.94   76901     0      0   0                
 371  11  63 140 142    26.25   351.56   76901     0      0   0                
 372  11  64 143 144    26.25   357.19   76901     0      0   0                
 373  12   1   1   2    28.75     2.61   77570     0      0   0                
 374  12   2   3   4    28.75     7.83   77570     0      0   0                
 375  12   3   5   6    28.75    13.04   77570     0      0   0                
 376  12   4   7   8    28.75    18.26   77570     0      0   0                
 377  12   5   9  10    28.75    23.48   77570     0      0   0                
 378  12   6  11  13    28.75    28.70   77570     0      0   0                
 379  12   7  14  15    28.75    33.91   77570     0      0   0                
 380  12   8  16  17    28.75    39.13   77570     0      0   0                
 381  12   9  18  19    28.75    44.35   77570     0      0   0                
 382  12  10  20  21    28.75    49.57   77570     0      0   0                
 383  12  11  22  23    28.75    54.78   77570     0      0   0                
 384  12  12  24  25    28.75    60.00   77570     0      0   0                
 385  12  13  26  27    28.75    65.22   77570     0      0   0                
 386  12  14  28  29    28.75    70.43   77570     0      0   0                
 387  12  15  30  31    28.75    75.65   77570     0      0   0                
 388  12  16  32  33    28.75    80.87   77570     0      0   0                
 389  12  17  34  35    28.75    86.09   77570     0      0   0                
 390  12  18  36  38    28.75    91.30   77570     0      0   0                
 391  12  19  39  40    28.75    96.52   77570     0      0   0                
 392  12  20  41  42    28.75   101.74   77570     0      0   0                
 393  12  21  43  44    28.75   106.96   77570     0      0   0                
 394  12  22  45  46    28.75   112.17   77570     0      0   0                
 395  12  23  47  48    28.75   117.39   77570     0      0   0                
 396  12  24  49  50    28.75   122.61   77570     0      0   0                
 397  12  25  51  52    28.75   127.83   77570     0      0   0                
 398  12  26  53  54    28.75   133.04   77570     0      0   0                
 399  12  27  55  56    28.75   138.26   77570     0      0   0                
 400  12  28  57  58    28.75   143.48   77570     0      0   0                
 401  12  29  59  61    28.75   148.70   77570     0      0   0                
 402  12  30  62  63    28.75   153.91   77570     0      0   0                
 403  12  31  64  65    28.75   159.13   77570     0      0   0                
 404  12  32  66  67    28.75   164.35   77570     0      0   0                
 405  12  33  68  69    28.75   169.57   77570     0      0   0                
 406  12  34  70  71    28.75   174.78   77570     0      0   0                
 407  12  35  72  73    28.75   180.00   77570     0      0   0                
 408  12  36  74  75    28.75   185.22   77570     0      0   0                
 409  12  37  76  77    28.75   190.43   77570     0      0   0                
 410  12  38  78  79    28.75   195.65   77570     0      0   0                
 411  12  39  80  81    28.75   200.87   77570     0      0   0                
 412  12  40  82  83    28.75   206.09   77570     0      0   0                
 413  12  41  84  86    28.75   211.30   77570     0      0   0                
 414  12  42  87  88    28.75   216.52   77570     0      0   0                
 415  12  43  89  90    28.75   221.74   77570     0      0   0                
 416  12  44  91  92    28.75   226.96   77570     0      0   0                
 417  12  45  93  94    28.75   232.17   77570     0      0   0                
 418  12  46  95  96    28.75   237.39   77570     0      0   0                
 419  12  47  97  98    28.75   242.61   77570     0      0   0                
 420  12  48  99 100    28.75   247.83   77570     0      0   0                
 421  12  49 101 102    28.75   253.04   77570     0      0   0                
 422  12  50 103 104    28.75   258.26   77570     0      0   0                
 423  12  51 105 106    28.75   263.48   77570     0      0   0                
 424  12  52 107 109    28.75   268.70   77570     0      0   0                
 425  12  53 110 111    28.75   273.91   77570     0      0   0                
 426  12  54 112 113    28.75   279.13   77570     0      0   0                
 427  12  55 114 115    28.75   284.35   77570     0      0   0                
 428  12  56 116 117    28.75   289.56   77570     0      0   0                
 429  12  57 118 119    28.75   294.78   77570     0      0   0                
 430  12  58 120 121    28.75   300.00   77570     3      0   0                
 431  12  59 122 123    28.75   305.22   77570     2      0   0                
 432  12  60 124 125    28.75   310.43   77570     0      0   0                
 433  12  61 126 127    28.75   315.65   77570     2      0   0                
 434  12  62 128 129    28.75   320.87   77570     0      0   0                
 435  12  63 130 131    28.75   326.09   77570     0      0   0                
 436  12  64 132 134    28.75   331.30   77570     0      0   0                
 437  12  65 135 136    28.75   336.52   77570     0      0   0                
 438  12  66 137 138    28.75   341.74   77570     0      0   0                
 439  12  67 139 140    28.75   346.96   77570     0      0   0                
 440  12  68 141 142    28.75   352.17   77570     0      0   0                
 441  12  69 143 144    28.75   357.39   77570     0      0   0                
 442  13   1   1   2    31.25     2.40   76969     0      0   0                
 443  13   2   3   4    31.25     7.20   76969     0      0   0                
 444  13   3   5   6    31.25    12.00   76969     0      0   0                
 445  13   4   7   8    31.25    16.80   76969     0      0   0                
 446  13   5   9  10    31.25    21.60   76969     0      0   0                
 447  13   6  11  12    31.25    26.40   76969     0      0   0                
 448  13   7  13  13    31.25    31.20   76969     0      0   0                
 449  13   8  14  15    31.25    36.00   76969     0      0   0                
 450  13   9  16  17    31.25    40.80   76969     0      0   0                
 451  13  10  18  19    31.25    45.60   76969     0      0   0                
 452  13  11  20  21    31.25    50.40   76969     0      0   0                
 453  13  12  22  23    31.25    55.20   76969     0      0   0                
 454  13  13  24  25    31.25    60.00   76969     0      0   0                
 455  13  14  26  27    31.25    64.80   76969     0      0   0                
 456  13  15  28  29    31.25    69.60   76969     0      0   0                
 457  13  16  30  31    31.25    74.40   76969     0      0   0                
 458  13  17  32  33    31.25    79.20   76969     0      0   0                
 459  13  18  34  35    31.25    84.00   76969     0      0   0                
 460  13  19  36  36    31.25    88.80   76969     0      0   0                
 461  13  20  37  38    31.25    93.60   76969     0      0   0                
 462  13  21  39  40    31.25    98.40   76969     0      0   0                
 463  13  22  41  42    31.25   103.20   76969     0      0   0                
 464  13  23  43  44    31.25   108.00   76969     0      0   0                
 465  13  24  45  46    31.25   112.80   76969     0      0   0                
 466  13  25  47  48    31.25   117.60   76969     0      0   0                
 467  13  26  49  50    31.25   122.40   76969     0      0   0                
 468  13  27  51  52    31.25   127.20   76969     0      0   0                
 469  13  28  53  54    31.25   132.00   76969     0      0   0                
 470  13  29  55  56    31.25   136.80   76969     0      0   0                
 471  13  30  57  58    31.25   141.60   76969     0      0   0                
 472  13  31  59  60    31.25   146.40   76969     0      0   0                
 473  13  32  61  61    31.25   151.20   76969     0      0   0                
