 GRD LAT LON SQ1 SQ2     LAT      LON      BOX    %   TOPOG  VEG               
 BOX IND IND IND IND   CENTER   CENTER    AREA  LAND HEIGHT TYPE               
   1   1   1   1  48     1.25    60.00   80949   100   2895   8                
   2   1   2  49  96     1.25   180.00   80949   100   2865   8                
   3   1   3  97 144     1.25   300.00   80949   100   2621   8                
   4   2   1   1  16     3.75    20.00   80862   100   2834   8                
   5   2   2  17  32     3.75    60.00   80862   100   3169   8                
   6   2   3  33  48     3.75   100.00   80862   100   3139   8                
   7   2   4  49  64     3.75   140.00   80862   100   2834   8                
   8   2   5  65  80     3.75   180.00   80862   100   2560   8                
   9   2   6  81  96     3.75   220.00   80862   100   1767   8                
  10   2   7  97 112     3.75   260.00   80862   100   1950   8                
  11   2   8 113 128     3.75   300.00   80862   100   1676   8                
  12   2   9 129 144     3.75   340.00   80862   100   2468   8                
  13   3   1   1   9     6.25    11.25   75714   100   2895   8                
  14   3   2  10  18     6.25    33.75   75714   100   3352   8                
  15   3   3  19  27     6.25    56.25   75714   100   3657   8                
  16   3   4  28  36     6.25    78.75   75714   100   3596   8                
  17   3   5  37  45     6.25   101.25   75714   100   3261   8                
  18   3   6  46  54     6.25   123.75   75714   100   2895   8                
  19   3   7  55  63     6.25   146.25   75714   100   2499   8                
  20   3   8  64  72     6.25   168.75   75714   100   1341   8                
  21   3   9  73  81     6.25   191.25   75714   100    152   8                
  22   3  10  82  90     6.25   213.75   75714   100    274   8                
  23   3  11  91  99     6.25   236.25   75714   100    975   8                
  24   3  12 100 108     6.25   258.75   75714   100   2011   8                
  25   3  13 109 117     6.25   281.25   75714   100   1066   8                
  26   3  14 118 126     6.25   303.75   75714   100    914   8                
  27   3  15 127 135     6.25   326.25   75714   100   1615   8                
  28   3  16 136 144     6.25   348.75   75714   100   2590   8                
  29   4   1   1   7     8.75     8.18   76950   100   3017   8                
  30   4   2   8  13     8.75    24.55   76950   100   3413   8                
  31   4   3  14  20     8.75    40.91   76950   100   3627   8                
  32   4   4  21  26     8.75    57.27   76950   100   3688   8                
  33   4   5  27  33     8.75    73.64   76950   100   3901   8                
  34   4   6  34  39     8.75    90.00   76950   100   3718   8                
  35   4   7  40  46     8.75   106.36   76950   100   3261   8                
  36   4   8  47  52     8.75   122.73   76950   100   2926   8                
  37   4   9  53  59     8.75   139.09   76950   100   2377   8                
  38   4  10  60  65     8.75   155.45   76950   100   1402   8                
  39   4  11  66  72     8.75   171.82   76950   100      0   8                
  40   4  12  73  79     8.75   188.18   76950   100      0   8                
  41   4  13  80  85     8.75   204.55   76950   100     91   8                
  42   4  14  86  92     8.75   220.91   76950   100    518   8                
  43   4  15  93  98     8.75   237.27   76950   100   1158   8                
  44   4  16  99 105     8.75   253.64   76950   100   1981   8                
  45   4  17 106 111     8.75   270.00   76950   100   1706   8                
  46   4  18 112 118     8.75   286.36   76950   100    274   8                
  47   4  19 119 124     8.75   302.73   76950   100    121   8                
  48   4  20 125 131     8.75   319.09   76950   100    365   8                
  49   4  21 132 137     8.75   335.45   76950   100   1584   8                
